track_id,track_name,release_year,artist_id,artist_name,popularity,preview_url
0bYg9bo50gSsH3LtXe2SQn,All I Want for Christmas Is You,1994,4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,99,https://p.scdn.co/mp3-preview/6b1557cd25d543940a3decd85a7bf2bc136c51f8?cid=e2b7ea9d0a034f07bbeb826f4fe4b9a1
06qMRF18gwbOYYbnP2du6i,Last Christmas - Single Version,2023,5lpH0xAS4fVfLkACg9DAuM,Wham!,88,https://p.scdn.co/mp3-preview/291b50b25994238d04761b50f08252f37c27c22c?cid=e2b7ea9d0a034f07bbeb826f4fe4b9a1
3rUGC1vUpkDG9CZFHMur1t,greedy,2023,45dkTj5sMRSjrmBSBeiHym,Tate McRae,100,https://p.scdn.co/mp3-preview/ca7bdcb691fb64a5af8a3253b89356390664fcf1?cid=e2b7ea9d0a034f07bbeb826f4fe4b9a1
2EjXfH91m7f8HiJN1yQg97,Rockin' Around The Christmas Tree,1964,4cPHsZM98sKzmV26wlwD2W,Brenda Lee,97,
3vkCueOmm7xQDoJ17W1Pm3,My Love Mine All Mine,2023,2uYWxilOVlUdk4oV9DvwqK,Mitski,98,https://p.scdn.co/mp3-preview/2f90c9a6a2b6e38554d3bc3cf7512c2c70ac67b9?cid=e2b7ea9d0a034f07bbeb826f4fe4b9a1
4xhsWYTOGcal8zt0J161CU,Lovin On Me,2023,2LIk90788K0zvyj2JJVwkJ,Jack Harlow,97,https://p.scdn.co/mp3-preview/eeeb6151d0049367b3ad3db0389e9e3b116c0774?cid=e2b7ea9d0a034f07bbeb826f4fe4b9a1
7vQbuQcyTflfCIOu3Uzzya,Jingle Bell Rock,1957,38EmEgXkgK51MT2tPY0EoC,Bobby Helms,93,
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,2019,06HL4z0CvFAxyc27GXpf02,Taylor Swift,99,
1rv46mRwDqMEhOBZ7vODg3,It's Beginning to Look a Lot like Christmas,2011,1GxkXlMwML1oSg5eLPiAz3,Michael Bublé,86,https://p.scdn.co/mp3-preview/a6c7c7d01334a4801d782d6834ff7a2559ab138e?cid=e2b7ea9d0a034f07bbeb826f4fe4b9a1
0lizgQ7Qw35od7CYaoMBZb,Santa Tell Me,2014,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,95,
1IcR6RlgvDczfvoWJSSY2A,It's the Most Wonderful Time of the Year,1963,4sj6D0zlMOl25nprDJBiU9,Andy Williams,79,https://p.scdn.co/mp3-preview/853f441c5fc1b25ba88bb300c17119cde36da675?cid=e2b7ea9d0a034f07bbeb826f4fe4b9a1
7CyPwkp0oE8Ro9Dd5CUDjW,"One Of The Girls (with JENNIE, Lily Rose Depp)",2023,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,94,
7uoFMmxln0GPXQ0AcCBXRq,Snowman,2018,5WUlDfRSoLAfcVSX1WnrxN,Sia,94,https://p.scdn.co/mp3-preview/a936030efc27a4fc52d8c42b20d03ca4cab30836?cid=e2b7ea9d0a034f07bbeb826f4fe4b9a1
2uFaJJtFpPDc5Pa95XzTvg,Let It Snow! Let It Snow! Let It Snow!,1959,49e4v89VmlDcFCMyDv9wQ9,Dean Martin,94,
7iQXYTyuG13aoeHxGG28Nh,PERRO NEGRO,2023,4q3ewBCX7sLwd24euuV69X,Bad Bunny,97,https://p.scdn.co/mp3-preview/56ebd640e918ff135fed691da3c5697568e60a77?cid=e2b7ea9d0a034f07bbeb826f4fe4b9a1
56y1jOTK0XSvJzVv9vHQBK,Paint The Town Red,2023,5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,88,https://p.scdn.co/mp3-preview/f544992f165d4bd069f4d903ff946dc625ba0b8e?cid=e2b7ea9d0a034f07bbeb826f4fe4b9a1
2HRgqmZQC0MC7GeNuDIXHN,Seven (feat. Latto) (Explicit Ver.),2023,6HaGTQPmzraVmaVxvz6EUc,Jung Kook,90,https://p.scdn.co/mp3-preview/c6f315711a77fba52139f54587afa7e7d16a1232?cid=e2b7ea9d0a034f07bbeb826f4fe4b9a1
